X,Y,OBJECTID,FACILITY_SIZE,SPDES_ID,FACILITY_NAME,MOREINFO,FACILITY_NAME_LOWER
628952.5299,4774919.0192,622,Medium,NYA00E182,"Battenkill Dairy Farms, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"battenkill dairy farms, llc"
239924.0988,4772167.6217,628,Large,NYA00E190,"Torrey Farms Dairy, Inc.",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"torrey farms dairy, inc."
225722.4492,4707827.9089,635,Large,NYA00E197,Edelweiss Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,edelweiss dairy
236718.3205,4737360.3311,639,Large,NYA00E202,Flint's Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,flint's dairy farm
250896.1248,4746336.2873,640,Large,NYA00E203,Half Full Dairy #4,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,half full dairy #4
220245.8685,4738628.0746,641,Large,NYA00E204,Breezyhill Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,breezyhill dairy
185695.4964,4800263.8634,647,Large,NYA00E210,Lakeshore Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,lakeshore dairy
210663.801,4788482.8894,648,Large,NYA00E212,Gasport View Dairy Farms,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,gasport view dairy farms
229879.7964,4738742.3555,650,Large,NYA00E214,Boxler Dairy Farms,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,boxler dairy farms
227326.2707,4690843.0686,654,Large,NYA00E218,"Mallards Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"mallards dairy, llc"
230532.5011,4735749.9662,655,Medium,NYA00E219,Luce Dairy Farms,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,luce dairy farms
217902.0505,4793386.8004,656,Medium,NYA00E221,Dacoda Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,dacoda dairy
248794.7908,4750589.5508,668,Medium,NYA00E235,Harkins Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,harkins dairy farm
180545.8615,4796743.8905,669,Medium,NYA00E236,Wills Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,wills dairy
116495.2744,4678203.0537,679,Large,NYA00E247,"Reliance Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"reliance dairy, llc"
467485.9796,4691328.3056,683,Medium,NYA00E254,Cobar Dairy LLC,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,cobar dairy llc
421413.5868,4733614.7634,684,Large,NYA00E256,Whey Street Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,whey street dairy
408045.8182,4722283.3532,685,Large,NYA00E257,"East River Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"east river dairy, llc"
390051.7982,4775651.926,687,Medium,NYA00E259,Scholten Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,scholten dairy
372776.3564,4715829.5392,694,Medium,NYA00E269,"Vision Quest Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"vision quest dairy, llc"
381610.2189,4768290.9977,695,Medium,NYA00E270,"Blume Again Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"blume again dairy, llc"
423172.7743,4859339.2283,707,Large,NYA00E287,Windsong Dairy ,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,windsong dairy 
432180.3917,4886837.1389,710,Medium,NYA00E291,Carsada Dairy II,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,carsada dairy ii
469684.1635,4870151.6299,712,Large,NYA00E293,Pominville Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,pominville dairy
468168.0727,4830722.5445,713,Medium,NYA00E294,Conway Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,conway dairy farm
368758.9679,4742833.6547,714,Large,NYA00E295,Scipio Springs Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,scipio springs dairy
488075.7245,4946289.621,715,Large,NYA00E296,Greenwood Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,greenwood dairy farm
408762.6679,4839018.5339,717,Large,NYA00E298,"LOCUST HILL DAIRY, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"locust hill dairy, llc"
482533.0351,4953406.6452,718,Medium,NYA00E299,C&M DAIRY LLC,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,c&m dairy llc
381669.0578,4746605.6307,726,Large,NYA00E308,"Twin Birch Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"twin birch dairy, llc"
390356.0467,4750309.5692,730,Medium,NYA00E313,Leubner Dairy LLC,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,leubner dairy llc
398660.9597,4751448.0244,731,Large,NYA00E314,Volles Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,volles dairy
321901.8188,4749594.8674,732,Medium,NYA00E315,Hilton Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,hilton dairy
329308.8627,4743613.0842,734,Large,NYA00E317,Ivy Lakes Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,ivy lakes dairy
341843.8999,4775867.1227,744,Large,NYA00E327,Stillwater Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,stillwater dairy
426317.8565,4707681.5871,755,Large,NYA00E340,"Riverside Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"riverside dairy, llc"
316107.232,4668730.0634,758,Large,NYA00E343,Crookercrest Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,crookercrest dairy
241691.0368,4778066.9929,770,Large,NYA00E355,"Oak Orchard Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"oak orchard dairy, llc"
208754.684,4722978.1355,772,Large,NYA00E358,"Palmer Dairy Farms, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"palmer dairy farms, llc"
